book_id,title,author,price,stock_quantity,category_id,description,publisher,publication_year
35,The Catcher in the Rye,J.R.R. Tolkien,23.48,13,2,A great book about life and adventure.,"Leon, Peterson and Wilson",1998
36,The Great Gatsby,George Orwell,10.74,33,4,A great book about life and adventure.,Stokes Group,2010
37,1984,J.R.R. Tolkien,22.41,96,1,A great book about life and adventure.,"Ryan, Kennedy and Randolph",1984
38,To Kill a Mockingbird,Ray Bradbury,42.29,8,4,A great book about life and adventure.,Carlson-Harris,1990
39,The Great Gatsby,J.R.R. Tolkien,46.38,20,3,A great book about life and adventure.,Bass-Hancock,2000
40,The Lord of the Rings,Jane Austen,21.06,89,2,A great book about life and adventure.,Fowler-Ray,1992
41,To Kill a Mockingbird,J.R.R. Tolkien,25.12,48,3,A great book about life and adventure.,Valdez Inc,2006
42,1984,Harper Lee,8.17,59,1,A great book about life and adventure.,"Thomas, Kelley and Jackson",1983
43,The Hobbit,Jane Austen,37.36,52,4,A great book about life and adventure.,"Padilla, Jackson and Peterson",1992
44,The Great Gatsby,Jane Austen,19.52,30,5,A great book about life and adventure.,Williams-Howard,1999
45,Moby-Dick,Harper Lee,40.71,90,1,A great book about life and adventure.,"Salazar, Thomas and Ruiz",2002
46,The Lord of the Rings,Harper Lee,37.8,10,1,A great book about life and adventure.,Foster Group,2008
47,Harry Potter and the Sorcerer's Stone,F. Scott Fitzgerald,25.41,24,5,A great book about life and adventure.,Villegas-Salazar,2015
48,The Catcher in the Rye,J.R.R. Tolkien,30.95,54,4,A great book about life and adventure.,Griffin Ltd,2024
49,The Great Gatsby,George Orwell,35.53,72,4,A great book about life and adventure.,Andersen-Riddle,2016
50,The Hobbit,J.R.R. Tolkien,39.34,73,1,A great book about life and adventure.,"Riley, Best and Gross",2008
51,Harry Potter and the Sorcerer's Stone,J.D. Salinger,45.82,43,3,A great book about life and adventure.,"Tucker, Rodriguez and Brooks",2013
52,The Great Gatsby,F. Scott Fitzgerald,41.91,36,2,A great book about life and adventure.,Bowers-Garcia,1983
53,The Great Gatsby,George Orwell,19.94,48,3,A great book about life and adventure.,Collins-Wilson,2021
54,Pride and Prejudice,J.K. Rowling,45.02,34,5,A great book about life and adventure.,Long Inc,2001
55,The Lord of the Rings,Jane Austen,27.57,36,1,A great book about life and adventure.,Mueller PLC,1997
56,Harry Potter and the Sorcerer's Stone,J.R.R. Tolkien,38.97,73,1,A great book about life and adventure.,Gregory LLC,2012
57,Pride and Prejudice,Harper Lee,25.29,96,4,A great book about life and adventure.,Cook and Sons,2000
58,The Catcher in the Rye,Ray Bradbury,14.92,60,1,A great book about life and adventure.,Collins-Lawrence,2010
59,The Hobbit,George Orwell,42.09,55,3,A great book about life and adventure.,Hill-Molina,1983
60,1984,J.R.R. Tolkien,30.31,32,1,A great book about life and adventure.,Ross-Howell,2009
61,The Catcher in the Rye,J.R.R. Tolkien,21.82,87,4,A great book about life and adventure.,Howard PLC,2022
62,Harry Potter and the Sorcerer's Stone,F. Scott Fitzgerald,47.66,82,1,A great book about life and adventure.,"Davis, Brooks and Elliott",2023
63,To Kill a Mockingbird,F. Scott Fitzgerald,28.33,89,2,A great book about life and adventure.,"Barrett, Mckenzie and Gibson",1993
64,Harry Potter and the Sorcerer's Stone,J.D. Salinger,35.66,17,2,A great book about life and adventure.,"White, Fields and Wilson",2014
65,Pride and Prejudice,Ray Bradbury,24.39,43,3,A great book about life and adventure.,Simmons and Sons,2006
66,1984,Ray Bradbury,44.03,100,3,A great book about life and adventure.,Robinson Group,2001
67,The Great Gatsby,J.R.R. Tolkien,9.72,67,3,A great book about life and adventure.,"Navarro, Rogers and Figueroa",1986
68,1984,Jane Austen,39.09,19,2,A great book about life and adventure.,Welch-Green,1991
69,Harry Potter and the Sorcerer's Stone,George Orwell,19.18,13,1,A great book about life and adventure.,"Lee, Jones and Romero",1993
70,To Kill a Mockingbird,Harper Lee,14.26,98,4,A great book about life and adventure.,Robertson and Sons,1982
71,1984,J.R.R. Tolkien,30.23,69,2,A great book about life and adventure.,"Anderson, Reed and Moore",2011
72,To Kill a Mockingbird,George Orwell,25.23,95,2,A great book about life and adventure.,"Thomas, Harrison and Stevens",2008
73,The Catcher in the Rye,Ray Bradbury,19.36,78,3,A great book about life and adventure.,"Jones, Smith and Arnold",2001
74,The Great Gatsby,J.R.R. Tolkien,49.86,71,1,A great book about life and adventure.,"Jones, Williams and Evans",2024
75,To Kill a Mockingbird,J.R.R. Tolkien,48.35,46,4,A great book about life and adventure.,Wells Ltd,2006
76,To Kill a Mockingbird,J.K. Rowling,26.76,66,5,A great book about life and adventure.,Freeman-Rivera,2021
77,The Lord of the Rings,J.R.R. Tolkien,17.59,77,1,A great book about life and adventure.,King-Gonzalez,1986
78,Moby-Dick,J.R.R. Tolkien,34.54,26,4,A great book about life and adventure.,Bowman-Gonzalez,1985
79,To Kill a Mockingbird,J.R.R. Tolkien,10.4,69,4,A great book about life and adventure.,Carson-Armstrong,1981
80,To Kill a Mockingbird,Jane Austen,29.71,72,1,A great book about life and adventure.,"Dean, Irwin and Smith",1984
81,Fahrenheit 451,Harper Lee,39.07,50,5,A great book about life and adventure.,Whitney-Gilbert,2018
82,1984,F. Scott Fitzgerald,42.08,2,5,A great book about life and adventure.,Miller-Frye,1981
83,To Kill a Mockingbird,Harper Lee,41.49,95,1,A great book about life and adventure.,"Bailey, Gregory and Solis",1988
84,Fahrenheit 451,J.R.R. Tolkien,45.07,99,5,A great book about life and adventure.,"Jones, Martin and Franklin",1993
85,Fahrenheit 451,Harper Lee,32.96,93,3,A great book about life and adventure.,Lynch Group,2002
86,Moby-Dick,Ray Bradbury,10.91,40,3,A great book about life and adventure.,"Wilson, Myers and Ortega",2014
87,The Great Gatsby,Ray Bradbury,26.42,81,4,A great book about life and adventure.,Yates-Neal,2002
88,Pride and Prejudice,F. Scott Fitzgerald,15.85,75,5,A great book about life and adventure.,Jackson Group,1987
89,Moby-Dick,F. Scott Fitzgerald,16.66,44,4,A great book about life and adventure.,"Charles, Krause and Jacobs",1995
90,The Lord of the Rings,George Orwell,37.34,25,4,A great book about life and adventure.,Brown-Gonzales,1993
91,1984,J.K. Rowling,49.77,37,2,A great book about life and adventure.,"Mann, Good and Wallace",1992
92,The Hobbit,J.R.R. Tolkien,23.68,78,5,A great book about life and adventure.,Frederick-Brown,2013
93,1984,F. Scott Fitzgerald,45.31,3,4,A great book about life and adventure.,Neal-Chambers,2023
94,Harry Potter and the Sorcerer's Stone,Ray Bradbury,37.95,24,4,A great book about life and adventure.,Sweeney and Sons,2021
95,Pride and Prejudice,J.R.R. Tolkien,8.2,25,1,A great book about life and adventure.,Alexander-Greene,2019
96,Harry Potter and the Sorcerer's Stone,F. Scott Fitzgerald,33.91,10,1,A great book about life and adventure.,"Hamilton, Martinez and Young",2013
97,Moby-Dick,George Orwell,44.88,81,4,A great book about life and adventure.,Flores PLC,1999
98,The Lord of the Rings,F. Scott Fitzgerald,23.02,52,4,A great book about life and adventure.,"Martin, Hunt and Taylor",2002
99,To Kill a Mockingbird,F. Scott Fitzgerald,7.25,34,1,A great book about life and adventure.,Yang-Allen,1980
100,Moby-Dick,F. Scott Fitzgerald,16.91,27,1,A great book about life and adventure.,"Christensen, Curtis and Colon",1991
101,Harry Potter and the Sorcerer's Stone,J.R.R. Tolkien,22.03,9,1,A great book about life and adventure.,Hampton-Irwin,1997
102,Moby-Dick,J.R.R. Tolkien,20.61,42,2,A great book about life and adventure.,Benson PLC,2015
103,The Lord of the Rings,Herman Melville,26.09,31,5,A great book about life and adventure.,"Carter, Aguilar and Underwood",1995
104,Pride and Prejudice,J.K. Rowling,15.09,52,1,A great book about life and adventure.,"Rodriguez, Young and Harrison",1981
105,The Great Gatsby,Jane Austen,27.63,61,4,A great book about life and adventure.,Collins-Gomez,2007
106,The Hobbit,Jane Austen,15.83,64,1,A great book about life and adventure.,"Russo, Brown and Harper",1988
107,To Kill a Mockingbird,Jane Austen,10.59,72,1,A great book about life and adventure.,"Anderson, Bernard and Alexander",2003
108,Moby-Dick,Herman Melville,26.61,20,5,A great book about life and adventure.,"Cooley, Allen and Simon",1983
109,Pride and Prejudice,George Orwell,26.71,22,5,A great book about life and adventure.,"Smith, Turner and Harper",2021
110,To Kill a Mockingbird,Jane Austen,8.55,100,2,A great book about life and adventure.,Haynes-Peterson,2017
111,Moby-Dick,J.K. Rowling,31.56,72,5,A great book about life and adventure.,"Perez, Moore and Nguyen",1992
112,The Lord of the Rings,Jane Austen,37.27,8,3,A great book about life and adventure.,Grimes Inc,1984
113,To Kill a Mockingbird,Ray Bradbury,40.26,98,1,A great book about life and adventure.,"Garcia, James and Wood",2015
114,Moby-Dick,J.D. Salinger,14.87,9,5,A great book about life and adventure.,Tucker Group,2015
115,Fahrenheit 451,Jane Austen,18.26,94,4,A great book about life and adventure.,Pope PLC,2006
116,Harry Potter and the Sorcerer's Stone,J.R.R. Tolkien,35.51,57,1,A great book about life and adventure.,"Wolfe, Johnson and Larson",2015
117,Pride and Prejudice,Ray Bradbury,47.66,11,2,A great book about life and adventure.,Jones Inc,2015
118,To Kill a Mockingbird,J.R.R. Tolkien,43.4,81,3,A great book about life and adventure.,Green-Johnson,2014
119,The Great Gatsby,J.R.R. Tolkien,41.21,53,3,A great book about life and adventure.,Hernandez Group,2016
120,The Great Gatsby,J.D. Salinger,8.45,47,5,A great book about life and adventure.,Carpenter PLC,1995
121,Fahrenheit 451,Ray Bradbury,44.13,21,5,A great book about life and adventure.,Rivera LLC,1994
122,1984,Jane Austen,34.66,50,2,A great book about life and adventure.,Smith Inc,2008
123,The Great Gatsby,F. Scott Fitzgerald,25.61,75,4,A great book about life and adventure.,"Pearson, Alexander and Sheppard",1983
124,Fahrenheit 451,Jane Austen,49.6,8,4,A great book about life and adventure.,Smith-Gonzalez,2019
125,Harry Potter and the Sorcerer's Stone,Ray Bradbury,16.3,36,1,A great book about life and adventure.,Woods PLC,1997
126,The Great Gatsby,Harper Lee,38.97,20,1,A great book about life and adventure.,Smith and Sons,1981
127,To Kill a Mockingbird,J.R.R. Tolkien,37.07,48,2,A great book about life and adventure.,Terry Ltd,2006
128,Moby-Dick,George Orwell,37.83,48,3,A great book about life and adventure.,Calhoun and Sons,2014
129,To Kill a Mockingbird,J.K. Rowling,23.99,5,4,A great book about life and adventure.,Jones-Sullivan,1981
130,Moby-Dick,Ray Bradbury,45.76,61,4,A great book about life and adventure.,Martinez Ltd,1981
131,Fahrenheit 451,J.R.R. Tolkien,47.26,76,1,A great book about life and adventure.,"Bradley, Gonzalez and Baker",1987
132,The Lord of the Rings,Ray Bradbury,17.32,59,3,A great book about life and adventure.,"Wagner, Moody and Wright",2003
133,Harry Potter and the Sorcerer's Stone,George Orwell,15.81,66,4,A great book about life and adventure.,Mcgrath Ltd,1998
134,To Kill a Mockingbird,Harper Lee,9.33,7,4,A great book about life and adventure.,"Cantu, Newton and Rodriguez",1980
135,Harry Potter and the Sorcerer's Stone,Herman Melville,39.88,13,5,A great book about life and adventure.,Pierce-Nunez,1995
136,Moby-Dick,J.R.R. Tolkien,5.79,64,3,A great book about life and adventure.,Hunter-Larson,2006
137,Moby-Dick,J.R.R. Tolkien,26.85,14,5,A great book about life and adventure.,"Osborn, Sampson and Smith",1980
138,Pride and Prejudice,J.R.R. Tolkien,23.88,9,3,A great book about life and adventure.,Thomas-Larson,2006
139,The Lord of the Rings,J.R.R. Tolkien,39.31,57,4,A great book about life and adventure.,Daniels PLC,2004
140,The Catcher in the Rye,Ray Bradbury,25.51,21,5,A great book about life and adventure.,"Contreras, Dudley and Russell",2019
141,Harry Potter and the Sorcerer's Stone,George Orwell,32.27,5,1,A great book about life and adventure.,Miller-Thomas,2000
142,The Lord of the Rings,J.R.R. Tolkien,46.75,85,5,A great book about life and adventure.,Bonilla-Warner,1992
143,To Kill a Mockingbird,J.R.R. Tolkien,19.15,45,3,A great book about life and adventure.,Mason-Rivera,2004
144,The Hobbit,Ray Bradbury,36.92,56,5,A great book about life and adventure.,Boyd PLC,1991
145,1984,Jane Austen,28.18,4,4,A great book about life and adventure.,Woods-Johnson,2011
146,Fahrenheit 451,Ray Bradbury,45.92,22,1,A great book about life and adventure.,Casey-Bolton,2017
147,To Kill a Mockingbird,F. Scott Fitzgerald,15.24,33,1,A great book about life and adventure.,"Banks, Watkins and Miller",2021
148,To Kill a Mockingbird,J.D. Salinger,16.74,97,3,A great book about life and adventure.,Lambert Ltd,1990
149,The Catcher in the Rye,George Orwell,22.67,31,4,A great book about life and adventure.,Caldwell-Fischer,2023
150,Moby-Dick,Jane Austen,25.22,54,3,A great book about life and adventure.,"Patrick, Skinner and Yu",1990
151,Harry Potter and the Sorcerer's Stone,George Orwell,9.88,29,1,A great book about life and adventure.,Hughes-Holland,1993
152,Pride and Prejudice,J.D. Salinger,16.52,43,5,A great book about life and adventure.,Manning-Stephens,2019
153,Harry Potter and the Sorcerer's Stone,Jane Austen,8.2,28,3,A great book about life and adventure.,Smith and Sons,2004
154,To Kill a Mockingbird,J.R.R. Tolkien,21.59,15,1,A great book about life and adventure.,Davis PLC,2023
155,The Lord of the Rings,Ray Bradbury,33.52,2,5,A great book about life and adventure.,"Wallace, Dunlap and Torres",2023
156,The Catcher in the Rye,J.K. Rowling,17.86,44,3,A great book about life and adventure.,"Williams, Thompson and Navarro",2003
157,Moby-Dick,Ray Bradbury,12.67,48,1,A great book about life and adventure.,"Welch, Hammond and Myers",2005
158,The Hobbit,J.D. Salinger,29.11,85,2,A great book about life and adventure.,"Thomas, Giles and Marshall",1981
159,The Great Gatsby,J.D. Salinger,42.38,38,4,A great book about life and adventure.,"Clark, Parker and Wilson",1986
160,The Great Gatsby,Ray Bradbury,25.12,78,3,A great book about life and adventure.,"Ward, Walker and Green",1987
161,The Lord of the Rings,Ray Bradbury,26.13,8,4,A great book about life and adventure.,"Owens, Cohen and Valdez",1996
162,Pride and Prejudice,J.R.R. Tolkien,49.63,79,2,A great book about life and adventure.,Goodwin-Farrell,2023
163,Moby-Dick,Harper Lee,39.99,73,5,A great book about life and adventure.,Terry PLC,2003
164,1984,J.K. Rowling,30.26,55,3,A great book about life and adventure.,Russell-Ortiz,2000
165,Moby-Dick,J.D. Salinger,21.28,99,3,A great book about life and adventure.,"Collins, Smith and Hernandez",2015
166,Harry Potter and the Sorcerer's Stone,Herman Melville,8.19,45,2,A great book about life and adventure.,"Stewart, Gregory and Martinez",2015
167,The Great Gatsby,Ray Bradbury,8.81,30,4,A great book about life and adventure.,Miller Group,1993
168,The Hobbit,J.R.R. Tolkien,43.31,66,1,A great book about life and adventure.,Clarke-Mitchell,1989
169,The Hobbit,F. Scott Fitzgerald,30.32,76,4,A great book about life and adventure.,Peters-Levine,1998
170,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8.54,92,5,A great book about life and adventure.,Hamilton and Sons,1993
171,The Catcher in the Rye,Ray Bradbury,39.31,12,3,A great book about life and adventure.,Middleton and Sons,1980
172,The Catcher in the Rye,F. Scott Fitzgerald,32.26,34,5,A great book about life and adventure.,"Elliott, Anderson and Benton",1989
173,Fahrenheit 451,George Orwell,9.19,31,3,A great book about life and adventure.,Delacruz-Garcia,2007
174,Pride and Prejudice,Jane Austen,12.87,82,1,A great book about life and adventure.,"Smith, Hudson and Dunlap",1985
175,The Lord of the Rings,J.R.R. Tolkien,14.55,10,4,A great book about life and adventure.,"White, Navarro and Lopez",2020
176,1984,Ray Bradbury,16.2,86,4,A great book about life and adventure.,Hardin and Sons,2024
177,The Catcher in the Rye,J.R.R. Tolkien,37.85,79,3,A great book about life and adventure.,Johnson LLC,2002
178,The Hobbit,J.D. Salinger,45.3,39,5,A great book about life and adventure.,Washington LLC,2022
179,To Kill a Mockingbird,F. Scott Fitzgerald,9.19,43,2,A great book about life and adventure.,"Smith, Flores and Espinoza",2024
180,The Lord of the Rings,F. Scott Fitzgerald,35.35,33,1,A great book about life and adventure.,Carroll-Holmes,2008
181,The Catcher in the Rye,Herman Melville,49.96,43,1,A great book about life and adventure.,"Oneal, Graham and Gill",2010
182,The Hobbit,J.K. Rowling,46.71,91,1,A great book about life and adventure.,"Hamilton, Torres and Howard",1995
183,The Great Gatsby,F. Scott Fitzgerald,10.91,57,2,A great book about life and adventure.,Nguyen LLC,1989
184,The Lord of the Rings,Ray Bradbury,36.89,44,5,A great book about life and adventure.,"Torres, Tucker and Bates",2012
185,The Catcher in the Rye,J.K. Rowling,6.47,10,1,A great book about life and adventure.,"Wright, Austin and Golden",2022
186,1984,F. Scott Fitzgerald,24.78,49,5,A great book about life and adventure.,"Grant, Tucker and Anderson",1989
187,The Great Gatsby,George Orwell,16.11,51,3,A great book about life and adventure.,"Singh, Cervantes and Martin",2010
188,Fahrenheit 451,Herman Melville,18.44,14,2,A great book about life and adventure.,"Charles, Wood and Moore",1983
189,The Catcher in the Rye,J.D. Salinger,22.17,36,5,A great book about life and adventure.,Camacho-Buck,1981
190,The Lord of the Rings,Harper Lee,27.49,12,4,A great book about life and adventure.,Mcintyre-Welch,1996
191,The Hobbit,J.D. Salinger,17.21,29,5,A great book about life and adventure.,"Webb, Lopez and Irwin",1989
192,The Lord of the Rings,Harper Lee,20.19,24,5,A great book about life and adventure.,Dougherty-Smith,2022
193,Pride and Prejudice,J.R.R. Tolkien,23.04,32,2,A great book about life and adventure.,Brown PLC,2001
194,Fahrenheit 451,J.R.R. Tolkien,38.69,25,4,A great book about life and adventure.,"Curtis, Parks and Webb",2018
195,To Kill a Mockingbird,J.R.R. Tolkien,42.14,13,4,A great book about life and adventure.,Keller-Munoz,2016
196,The Lord of the Rings,F. Scott Fitzgerald,13.1,10,3,A great book about life and adventure.,Strickland-Fuller,1996
197,Fahrenheit 451,J.R.R. Tolkien,38.38,76,2,A great book about life and adventure.,Benjamin-Roberts,2011
198,Fahrenheit 451,J.K. Rowling,44.53,24,1,A great book about life and adventure.,Brown Ltd,1998
199,1984,Herman Melville,42.85,55,5,A great book about life and adventure.,"Silva, Barnes and Richmond",2006
200,The Hobbit,J.R.R. Tolkien,32.88,79,2,A great book about life and adventure.,Adkins and Sons,2008
201,The Hobbit,George Orwell,41.36,38,5,A great book about life and adventure.,Frey-Ferrell,2001
202,Fahrenheit 451,J.R.R. Tolkien,25.8,97,5,A great book about life and adventure.,Johnson-Kim,1998
203,Moby-Dick,Harper Lee,41.14,75,4,A great book about life and adventure.,Cuevas Inc,2003
204,To Kill a Mockingbird,Jane Austen,23.47,5,2,A great book about life and adventure.,Rogers Ltd,2004
205,The Great Gatsby,Ray Bradbury,41.88,15,3,A great book about life and adventure.,"Harvey, Chavez and Villegas",2003
206,The Great Gatsby,Herman Melville,41.73,34,4,A great book about life and adventure.,Jensen-Kirk,1984
207,Moby-Dick,Herman Melville,25.64,43,5,A great book about life and adventure.,"Best, Chase and Hunter",1999
208,The Lord of the Rings,F. Scott Fitzgerald,22.04,40,3,A great book about life and adventure.,Carpenter PLC,2011
209,To Kill a Mockingbird,Herman Melville,35.05,54,3,A great book about life and adventure.,Adams Inc,1985
210,The Great Gatsby,J.D. Salinger,31.77,6,1,A great book about life and adventure.,Carter-Cook,1998
211,Harry Potter and the Sorcerer's Stone,F. Scott Fitzgerald,14.49,64,3,A great book about life and adventure.,Sims-Rivas,2020
212,The Lord of the Rings,J.R.R. Tolkien,14.83,18,5,A great book about life and adventure.,Krueger Inc,1985
213,Harry Potter and the Sorcerer's Stone,Harper Lee,31.2,56,3,A great book about life and adventure.,Harmon Ltd,2018
214,The Great Gatsby,J.R.R. Tolkien,16.22,89,4,A great book about life and adventure.,Armstrong Inc,1984
215,Moby-Dick,J.R.R. Tolkien,28.51,90,2,A great book about life and adventure.,"Kane, Anderson and Graham",1987
216,Moby-Dick,George Orwell,13.07,68,5,A great book about life and adventure.,Keith-Vance,1988
217,Pride and Prejudice,J.K. Rowling,44.82,69,3,A great book about life and adventure.,Rodriguez Group,1989
218,The Lord of the Rings,F. Scott Fitzgerald,44.01,56,5,A great book about life and adventure.,Hendrix LLC,2017
219,Fahrenheit 451,Harper Lee,21.46,76,1,A great book about life and adventure.,Stevens-Bennett,2023
220,Moby-Dick,Herman Melville,25.09,16,2,A great book about life and adventure.,Schmitt Inc,2011
221,Harry Potter and the Sorcerer's Stone,J.R.R. Tolkien,23.42,44,5,A great book about life and adventure.,Baldwin-Archer,2001
222,The Lord of the Rings,J.K. Rowling,10.61,16,5,A great book about life and adventure.,Anderson-Scott,2022
223,The Great Gatsby,George Orwell,34.45,28,2,A great book about life and adventure.,Fowler-Foster,1984
224,Moby-Dick,Ray Bradbury,7.5,55,1,A great book about life and adventure.,Pollard LLC,1995
225,Moby-Dick,George Orwell,12.95,45,2,A great book about life and adventure.,Woods Ltd,1984
226,The Hobbit,Herman Melville,45.76,44,3,A great book about life and adventure.,Brown-Flynn,1998
227,The Great Gatsby,Ray Bradbury,28.69,55,1,A great book about life and adventure.,"Hudson, Mcdonald and Knapp",2001
228,Pride and Prejudice,Herman Melville,21.36,7,2,A great book about life and adventure.,"Soto, Murphy and Chaney",2005
229,1984,J.R.R. Tolkien,42.49,98,1,A great book about life and adventure.,Phillips and Sons,1997
230,Pride and Prejudice,F. Scott Fitzgerald,5.5,9,4,A great book about life and adventure.,"Roberts, Mason and Wong",2017
231,The Great Gatsby,Jane Austen,40.31,79,4,A great book about life and adventure.,Holden-Mack,2015
232,The Hobbit,Ray Bradbury,13.53,82,3,A great book about life and adventure.,Henry Inc,1996
233,The Lord of the Rings,Harper Lee,34.68,56,4,A great book about life and adventure.,Martin-Solis,2014
234,The Hobbit,Herman Melville,47.46,76,3,A great book about life and adventure.,"Johnson, Morales and Hernandez",1985
235,Fahrenheit 451,Ray Bradbury,16.52,89,3,A great book about life and adventure.,"Barker, Cook and Riley",1983
236,The Great Gatsby,Ray Bradbury,19.53,66,2,A great book about life and adventure.,"Taylor, David and Perez",2002
237,The Catcher in the Rye,F. Scott Fitzgerald,46.88,13,4,A great book about life and adventure.,Smith-Ho,1988
238,The Great Gatsby,Jane Austen,10.36,49,5,A great book about life and adventure.,"Robertson, Bates and Davis",1997
239,To Kill a Mockingbird,Herman Melville,34.93,48,3,A great book about life and adventure.,Taylor Group,2004
240,To Kill a Mockingbird,F. Scott Fitzgerald,38.12,38,3,A great book about life and adventure.,Hamilton-Mclaughlin,2016
241,To Kill a Mockingbird,Herman Melville,37.64,19,1,A great book about life and adventure.,Parsons-Howard,2000
242,The Hobbit,J.D. Salinger,11.96,77,2,A great book about life and adventure.,"Gardner, Gillespie and Taylor",2002
243,1984,J.R.R. Tolkien,17.08,84,5,A great book about life and adventure.,"Rice, Holland and Singh",2017
244,The Catcher in the Rye,Herman Melville,22.97,83,5,A great book about life and adventure.,"Rodriguez, Thompson and Juarez",1988
245,1984,Harper Lee,49.22,3,2,A great book about life and adventure.,Carter-Oconnell,2024
246,Fahrenheit 451,Jane Austen,29.77,27,4,A great book about life and adventure.,Matthews and Sons,1998
247,Pride and Prejudice,J.R.R. Tolkien,17.3,26,1,A great book about life and adventure.,"Gonzalez, Welch and Rubio",2004
248,Moby-Dick,F. Scott Fitzgerald,36.08,52,1,A great book about life and adventure.,"Gillespie, Johnson and Moore",1993
249,The Great Gatsby,F. Scott Fitzgerald,8.64,62,4,A great book about life and adventure.,"Taylor, Fisher and Burke",2013
250,The Lord of the Rings,Herman Melville,35.74,88,2,A great book about life and adventure.,"Riley, Cannon and Lam",1996
251,The Hobbit,J.D. Salinger,21.49,77,1,A great book about life and adventure.,Thomas PLC,1994
252,To Kill a Mockingbird,Jane Austen,26.8,23,2,A great book about life and adventure.,"Macias, Conrad and Chaney",2000
253,1984,J.D. Salinger,45.45,89,2,A great book about life and adventure.,Oliver Inc,2007
254,The Lord of the Rings,Ray Bradbury,29.01,23,5,A great book about life and adventure.,"Adams, Mack and Valenzuela",1987
255,Pride and Prejudice,Ray Bradbury,22.68,51,4,A great book about life and adventure.,Carey-Johnson,1987
256,Fahrenheit 451,Herman Melville,34.89,59,3,A great book about life and adventure.,Johns-Cooper,2008
